intent,response,utter_send_link,utter_ask_more,featureless
RECOMMEND_TASTE-GOOD,<LOCATION-TYPE_FEATURE>의 맛있는 <RESTAURANT-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>의 맛이 좋은 <RESTAURANT-TYPE_FEATURE> 추천해드리겠습니다. / <LOCATION-TYPE_FEATURE>의 <RESTAURANT-TYPE_FEATURE> 중에서 맛있는 데를 추천을 희망하시는군요. / 전국의 <RESTAURANT-TYPE_FEATURE> 중에서 맛있는 데를 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>의 맛있는 <FOOD-TYPE_FEATURE><가> 있는  <RESTAURANT-TYPE_FEATURE> 추천해드리겠습니다. / <LOCATION-TYPE_FEATURE>의 맛있는 <INGREDIENT-TYPE_FEATURE><가> 있는  <RESTAURANT-TYPE_FEATURE> 추천해드리겠습니다.,아래에서 많은 분들이 베스트로 추천하신 식당들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,죄송합니다. 맛있는 한식당을 추천해줘와 같이 구체적인 식당 카테고리를 말씀해 주시겠어요?
RECOMMEND_TASTE-TYPE,<LOCATION-TYPE_FEATURE>의 <TASTE-TYPE_FEATURE> <FOOD-TYPE_FEATURE> <RESTAURANT-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>의 <TASTE-TYPE_FEATURE> 느낌의 <INGREDIENT-TYPE_FEATURE> <RESTAURANT-TYPE_FEATURE> 추천해드리겠습니다. / <LOCATION-TYPE_FEATURE>의 <RESTAURANT-TYPE_FEATURE> 중에서 <TASTE-TYPE_FEATURE> <FOOD-TYPE_FEATURE> <RESTAURANT-TYPE_FEATURE> 추천을 희망하시는군요. / 전국의 <RESTAURANT-TYPE_FEATURE> 중에서 <TASTE-TYPE_FEATURE> <FOOD-TYPE_FEATURE> <RESTAURANT-TYPE_FEATURE> 추천을 희망하시는군요.,아래에서 많은 분들이 베스트로 추천하신 식당들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,죄송합니다. 매운 김치찌개 집을 추천해줘와 같이 구체적인 맛과 음식명을 말씀해 주시겠어요?
RECOMMEND_AMOUNT,<LOCATION-TYPE_FEATURE>의 양이 푸짐한 <RESTAURANT-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>의 <INGREDIENT-TYPE_FEATURE> 핵 많이 들어있는 <RESTAURANT-TYPE_FEATURE> 추천해드리겠습니다. / <LOCATION-TYPE_FEATURE>의 <RESTAURANT-TYPE_FEATURE> 중에서 소자보다 더 많이 주는 데 추천을 희망하시는군요. / 전국의 <RESTAURANT-TYPE_FEATURE> 중에서 소자보다 더 많이 주는 데 추천을 희망하시는군요. ,아래에서 많은 분들이 베스트로 추천하신 식당들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,죄송합니다. 양이 많은 한식집을 추천해줘와 같이 구체적인 식당 카테고리를 말씀해 주시겠어요?
RECOMMEND_PRICE-GOOD,<LOCATION-TYPE_FEATURE>의 음식 값이 저렴한 <RESTAURANT-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>의 싼 <RESTAURANT-TYPE_FEATURE> 추천해드리겠습니다. / <LOCATION-TYPE_FEATURE>의 <RESTAURANT-TYPE_FEATURE> 중에서 매우 부담스럽지 않은 가격의 <RESTAURANT-TYPE_FEATURE> 추천을 희망하시는군요. / 전국의 <RESTAURANT-TYPE_FEATURE> 중에서 매우 부담스럽지 않은 가격의 <RESTAURANT-TYPE_FEATURE> 추천을 희망하시는군요.,아래에서 많은 분들이 베스트로 추천하신 식당들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,죄송합니다. 음식 값이 싼 중식집 추천해줘와 같이 구체적인 식당 카테고리를 말씀해 주시겠어요?
RECOMMEND_PRICE-FREE,<LOCATION-TYPE_FEATURE>의 <INGREDIENT-TYPE_FEATURE> 무료인 <RESTAURANT-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>의 <INGREDIENT-TYPE_FEATURE> 공짜로 먹을 수 있는 <RESTAURANT-TYPE_FEATURE> 추천해드리겠습니다. / <LOCATION-TYPE_FEATURE>의 <RESTAURANT-TYPE_FEATURE> 중에서 꽁짜로 <FOOD-TYPE_FEATURE> 주는 데 추천을 희망하시는군요. / 전국의 <RESTAURANT-TYPE_FEATURE> 중에서 꽁짜로 <FOOD-TYPE_FEATURE> 주는 데 추천을 희망하시는군요.,아래에서 많은 분들이 베스트로 추천하신 식당들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,죄송합니다. 밥이 무료인 맛집 추천해줘와 같이 구체적인 메뉴를 말씀해 주시겠어요?
RECOMMEND_TRANSPORTATION,<LOCATION-TYPE_FEATURE>의 접근성이 좋은 <RESTAURANT-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>의 편한 위치에 있는 <RESTAURANT-TYPE_FEATURE> 추천해드리겠습니다. / <LOCATION-TYPE_FEATURE>의 <RESTAURANT-TYPE_FEATURE> 중에서 버스 정거장에서 가까운 데 추천을 희망하시는군요. / 전국의 <RESTAURANT-TYPE_FEATURE> 중에서 버스 정거장에서 가까운 데 추천을 희망하시는군요.,아래에서 많은 분들이 베스트로 추천하신 식당들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,죄송합니다. 접근성이 좋은 한식집 추천해줘와 같이 구체적인 식당 카테고리를 말씀해 주시겠어요?
RECOMMEND_REVIEW,<LOCATION-TYPE_FEATURE>의 평이 좋은 <RESTAURANT-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>의 재방문 의사가 있는 <RESTAURANT-TYPE_FEATURE> 추천해드리겠습니다. / <LOCATION-TYPE_FEATURE>의 <RESTAURANT-TYPE_FEATURE> 중에서 리뷰 점수가 만점인 데 추천을 희망하시는군요. / 전국의 <RESTAURANT-TYPE_FEATURE> 중에서 리뷰 점수가 만점인 데 추천을 희망하시는군요.,아래에서 많은 분들이 베스트로 추천하신 식당들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,죄송합니다. 리뷰가 많은 한식집 추천해줘와 같이 구체적인 식당 카테고리를 말씀해 주시겠어요?
RECOMMEND_GOODTOGO,<LOCATION-TYPE_FEATURE>의 <GOODTOGO_FEATURE> 가기 좋은 <RESTAURANT-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>의 <GOODTOGO_FEATURE> 갈만한 <RESTAURANT-TYPE_FEATURE> 추천해드리겠습니다. / <LOCATION-TYPE_FEATURE>의 <RESTAURANT-TYPE_FEATURE> 중에서 <GOODTOGO_FEATURE> 적합한 데 추천을 희망하시는군요. / 전국의 <RESTAURANT-TYPE_FEATURE> 중에서 <GOODTOGO_FEATURE> 가기 좋은 추천을 희망하시는군요.,아래에서 많은 분들이 베스트로 추천하신 식당들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,죄송합니다. 친구끼리 갈만한 중국집 추천해줘와 같이 구체적인 동반자 혹은 기념일을 말씀해 주시겠어요?
RECOMMEND_PROVIDED,<LOCATION-TYPE_FEATURE>의 <PROVIDED_FEATURE> 구비되어 있는 <RESTAURANT-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>의 <PROVIDED_FEATURE> 있는 <RESTAURANT-TYPE_FEATURE> 추천해드리겠습니다. / <LOCATION-TYPE_FEATURE>의 <RESTAURANT-TYPE_FEATURE> 중에서 <PROVIDED_FEATURE> 있는 데 추천을 희망하시는군요. / 전국의 <RESTAURANT-TYPE_FEATURE> 중에서 <PROVIDED_FEATURE> 있는 데 추천을 희망하시는군요.,아래에서 많은 분들이 베스트로 추천하신 식당들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,죄송합니다. 주차장이 구비되어있는 한식집 추천해줘와 같이 구체적인 식당 카테고리를 말씀해 주시겠어요?
RECOMMEND_VIEW,<LOCATION-TYPE_FEATURE>의 <VIEW_FEATURE><가> 잘 보이는 <RESTAURANT-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>의 <VIEW_FEATURE> 뷰인 <RESTAURANT-TYPE_FEATURE> 추천해드리겠습니다. / <LOCATION-TYPE_FEATURE>의 <RESTAURANT-TYPE_FEATURE> 중에서 <VIEW_FEATURE><강> 잘 보이는 데 추천을 희망하시는군요. / 전국의 <RESTAURANT-TYPE_FEATURE> 중에서 <VIEW_FEATURE><가> 잘 보이는 데 추천을 희망하시는군요.,아래에서 많은 분들이 베스트로 추천하신 식당들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,죄송합니다. 한강이 잘 보이는 한식집 추천해줘와 같이 구체적인 뷰를 말씀해 주시겠어요?
RECOMMEND_GOOD-MOOD,<LOCATION-TYPE_FEATURE>의 경치가 좋은 <RESTAURANT-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>의 분위기 있는 <RESTAURANT-TYPE_FEATURE> 추천해드리겠습니다. / <LOCATION-TYPE_FEATURE>의 <RESTAURANT-TYPE_FEATURE> 중에서 인테리어가 아기자기한 데 추천을 희망하시는군요. / 전국의 <RESTAURANT-TYPE_FEATURE> 중에서 인테리어가 아기자기한 데 추천을 희망하시는군요.,아래에서 많은 분들이 베스트로 추천하신 식당들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,죄송합니다. 경치가 좋은 한식집 추천해줘와 같이 구체적인 식당 카테고리를 말씀해 주시겠어요?
RECOMMEND_INSTA-MOOD,<LOCATION-TYPE_FEATURE>의 인스타 느낌의 <RESTAURANT-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>의 인스타 감성 <RESTAURANT-TYPE_FEATURE> 추천해드리겠습니다. / <LOCATION-TYPE_FEATURE>의 <RESTAURANT-TYPE_FEATURE> 중에서 사진 찍기 좋은 데 추천을 희망하시는군요. / 전국의 <RESTAURANT-TYPE_FEATURE> 중에서 사진 찍기 좋은 데 추천을 희망하시는군요.,아래에서 많은 분들이 베스트로 추천하신 식당들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,죄송합니다. 인스타 감성의 한식집 추천해줘와 같이 구체적인 식당 분위기를 말씀해 주시겠어요?
RECOMMEND_ANTIQUE-MOOD,<LOCATION-TYPE_FEATURE>의 오래된 느낌의 <RESTAURANT-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>의 빈티지한 <RESTAURANT-TYPE_FEATURE> 추천해드리겠습니다. / <LOCATION-TYPE_FEATURE>의 <RESTAURANT-TYPE_FEATURE> 중에서 분위기가 앤티크한 데 추천을 희망하시는군요. / 전국의 <RESTAURANT-TYPE_FEATURE> 중에서 분위기가 앤티크한 데 추천을 희망하시는군요.,아래에서 많은 분들이 베스트로 추천하신 식당들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,죄송합니다. 오래된 느낌의 한식집 추천해줘와 같이 구체적인 식당 분위기를 말씀해 주시겠어요?
RECOMMEND_QUIET-MOOD,<LOCATION-TYPE_FEATURE>의 조용한 분위기의 <RESTAURANT-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>의 아늑한 <RESTAURANT-TYPE_FEATURE> 추천해드리겠습니다. / <LOCATION-TYPE_FEATURE>의 <RESTAURANT-TYPE_FEATURE> 중에서 분위기가 조용한 데 추천을 희망하시는군요. / 전국의 <RESTAURANT-TYPE_FEATURE> 중에서 분위기가 조용한 데 추천을 희망하시는군요.,아래에서 많은 분들이 베스트로 추천하신 식당들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,죄송합니다. 조용한 분위기의 한식집 추천해줘와 같이 구체적인 식당 분위기를 말씀해 주시겠어요?
RECOMMEND_LUXURY-MOOD,<LOCATION-TYPE_FEATURE>의 고급스러운 분위기의 <RESTAURANT-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>의 럭셔리한 <RESTAURANT-TYPE_FEATURE> 추천해드리겠습니다. / <LOCATION-TYPE_FEATURE>의 <RESTAURANT-TYPE_FEATURE> 중에서 분위기가 화려한 데 추천을 희망하시는군요. / 전국의 <RESTAURANT-TYPE_FEATURE> 중에서 분위기가 화려한 데 추천을 희망하시는군요.,아래에서 많은 분들이 베스트로 추천하신 식당들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,죄송합니다. 고급스러운 분위기의 한식집 추천해줘와 같이 구체적인 식당 분위기를 말씀해 주시겠어요?
RECOMMEND_PET,<LOCATION-TYPE_FEATURE>의 반려동물도 출입 가능한 <RESTAURANT-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>의 반려동물도 출입할 수 있는 <RESTAURANT-TYPE_FEATURE> 추천해드리겠습니다. / <LOCATION-TYPE_FEATURE>의 <RESTAURANT-TYPE_FEATURE> 중에서 반려동물도 들여보내 주는 데 추천을 희망하시는군요. / 전국의 <RESTAURANT-TYPE_FEATURE> 중에서 반려동물도 들여보내 주는 데 추천을 희망하시는군요.,아래에서 많은 분들이 베스트로 추천하신 식당들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,죄송합니다. 반려동물도 출입 가능한 한식집 추천해줘와 같이 구체적인 식당 카테고리를 말씀해 주시겠어요?
RECOMMEND_SMOKE,<LOCATION-TYPE_FEATURE>의 흡연 가능한 <RESTAURANT-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>의 흡연실이 있는 <RESTAURANT-TYPE_FEATURE> 추천해드리겠습니다. / <LOCATION-TYPE_FEATURE>의 <RESTAURANT-TYPE_FEATURE> 중에서 담배를 피워도 되는 데 추천을 희망하시는군요. / 전국의 <RESTAURANT-TYPE_FEATURE> 중에서 담배를 피워도 되는 데 추천을 희망하시는군요.,아래에서 많은 분들이 베스트로 추천하신 식당들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,죄송합니다. 흡연이 가능한 한식집 추천해줘와 같이 구체적인 식당 카테고리를 말씀해 주시겠어요?
RECOMMEND_NONPET,<LOCATION-TYPE_FEATURE>의 반려동물 출입 불가한 <RESTAURANT-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>의 노펫존인 <RESTAURANT-TYPE_FEATURE> 추천해드리겠습니다. / <LOCATION-TYPE_FEATURE>의 <RESTAURANT-TYPE_FEATURE> 중에서 반려동물 출입이 안 되는 데 추천을 희망하시는군요. / 전국의 <RESTAURANT-TYPE_FEATURE> 중에서 반려동물 출입이 안 되는 데 추천을 희망하시는군요.,아래에서 많은 분들이 베스트로 추천하신 식당들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,죄송합니다. 노펫존인 한식집 추천해줘와 같이 구체적인 식당 카테고리를 말씀해 주시겠어요?
RECOMMEND_NONSMOKE,<LOCATION-TYPE_FEATURE>의 흡연 안되는 <RESTAURANT-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>의 담배 냄새가 안 나는 <RESTAURANT-TYPE_FEATURE> 추천해드리겠습니다. / <LOCATION-TYPE_FEATURE>의 <RESTAURANT-TYPE_FEATURE> 중에서 흡연이 금지된 데 추천을 희망하시는군요. / 전국의 <RESTAURANT-TYPE_FEATURE> 중에서 흡연이 금지된 데 추천을 희망하시는군요.,아래에서 많은 분들이 베스트로 추천하신 식당들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,죄송합니다. 흡연이 금지된 한식집 추천해줘와 같이 구체적인 식당 카테고리를 말씀해 주시겠어요?
RECOMMEND_NONKIDS,<LOCATION-TYPE_FEATURE>의 노키즈존인 <RESTAURANT-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>의 아이 출입이 불가능한 <RESTAURANT-TYPE_FEATURE> 추천해드리겠습니다. / <LOCATION-TYPE_FEATURE>의 <RESTAURANT-TYPE_FEATURE> 중에서 애들이 없는 데 추천을 희망하시는군요. / 전국의 <RESTAURANT-TYPE_FEATURE> 중에서 애들이 없는 데 추천을 희망하시는군요.,아래에서 많은 분들이 베스트로 추천하신 식당들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,죄송합니다. 노키즈존인 한식집 추천해줘와 같이 구체적인 식당 카테고리를 말씀해 주시겠어요?
RECOMMEND_MENU,<LOCATION-TYPE_FEATURE>의 <INGREDIENT-TYPE_FEATURE> 들어간 <FOOD-TYPE_FEATURE> 파는 <RESTAURANT-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>의 <FOOD-TYPE_FEATURE> 있는 <RESTAURANT-TYPE_FEATURE> 추천해드리겠습니다. / 전국의 <FOOD-TYPE_FEATURE> 있는 <RESTAURANT-TYPE_FEATURE> 추천해드리겠습니다. / 해당 메뉴가 있는 <RESTAURANT-TYPE_FEATURE> 추천해드리겠습니다. ,아래에서 많은 분들이 베스트로 추천하신 식당들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,죄송합니다. 볶음밥이 있는 한식집 추천해줘와 같이 구체적인 메뉴 카테고리를 말씀해 주시겠어요?
RECOMMEND_SERVICE-GOOD,<LOCATION-TYPE_FEATURE>의 사장님이 친절한 <RESTAURANT-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>의 친절한 <RESTAURANT-TYPE_FEATURE> 추천해드리겠습니다. / <LOCATION-TYPE_FEATURE>의 <RESTAURANT-TYPE_FEATURE> 중에서 주인의 서비스가 좋은 데 추천을 희망하시는군요. / 전국의 <RESTAURANT-TYPE_FEATURE> 중에서 주인의 서비스가 좋은 데 추천을 희망하시는군요.,아래에서 많은 분들이 베스트로 추천하신 식당들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,죄송합니다. 사장님이 상냥한 한식집 추천해줘와 같이 구체적인 식당 카테고리를 말씀해 주시겠어요?
RECOMMEND_VALET-PARKING,<LOCATION-TYPE_FEATURE>의 발렛파킹이 가능한 <RESTAURANT-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>의 주차 요원이 있는 <RESTAURANT-TYPE_FEATURE> 추천해드리겠습니다. / <LOCATION-TYPE_FEATURE>의 <RESTAURANT-TYPE_FEATURE> 중에서 발렛 서비스가 가능한 데 추천을 희망하시는군요. / 전국의 <RESTAURANT-TYPE_FEATURE> 중에서 발렛 서비스가 가능한 데 추천을 희망하시는군요.,아래에서 많은 분들이 베스트로 추천하신 식당들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,죄송합니다. 주차가 가능한 한식집 추천해줘와 같이 구체적인 식당 카테고리를 말씀해 주시겠어요?
RECOMMEND_PLATING-GOOD,<LOCATION-TYPE_FEATURE>의 플레이팅을 잘하는 <RESTAURANT-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>의 디피를 예쁘게 하는 <RESTAURANT-TYPE_FEATURE> 추천해드리겠습니다. / <LOCATION-TYPE_FEATURE>의 <RESTAURANT-TYPE_FEATURE> 중에서 플레이팅을 예쁘게 담는 데 추천을 희망하시는군요. / 전국의 <RESTAURANT-TYPE_FEATURE> 중에서 플레이팅을 예쁘게 담는 데 추천을 희망하시는군요.,아래에서 많은 분들이 베스트로 추천하신 식당들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,죄송합니다. 플레이팅이 예쁜 한식집 추천해줘와 같이 구체적인 식당 카테고리를 말씀해 주시겠어요?
RECOMMEND_PACKING,<LOCATION-TYPE_FEATURE>의 포장이 가능한 <RESTAURANT-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>의 테이크아웃을 할 수 있는 <RESTAURANT-TYPE_FEATURE> 추천해드리겠습니다. / <LOCATION-TYPE_FEATURE>의 <RESTAURANT-TYPE_FEATURE> 중에서 포장을 해주는 데 추천을 희망하시는군요. / 전국의 <RESTAURANT-TYPE_FEATURE> 중에서 포장을 해주는 데 추천을 희망하시는군요.,아래에서 많은 분들이 베스트로 추천하신 식당들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,죄송합니다. 포장 가능한 한식집 추천해줘와 같이 구체적인 식당 카테고리를 말씀해 주시겠어요?
RECOMMEND_CLEANESS,<LOCATION-TYPE_FEATURE>의 청결한 매장의 <RESTAURANT-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>의 가게가 깨끗한 <RESTAURANT-TYPE_FEATURE> 추천해드리겠습니다. / <LOCATION-TYPE_FEATURE>의 <RESTAURANT-TYPE_FEATURE> 중에서 위생에 신경을 많이 쓰는 데 추천을 희망하시는군요. / 전국의 <RESTAURANT-TYPE_FEATURE> 중에서 위생에 신경을 많이 쓰는 데 추천을 희망하시는군요.,아래에서 많은 분들이 베스트로 추천하신 식당들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,죄송합니다. 매장이 청결한 한식집 추천해줘와 같이 구체적인 식당 카테고리를 말씀해 주시겠어요?
RECOMMEND_TEMPERATURE,<LOCATION-TYPE_FEATURE>의 냉난방이 잘 되는 <RESTAURANT-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>의 매장 온도가 쾌적한 <RESTAURANT-TYPE_FEATURE> 추천해드리겠습니다. / <LOCATION-TYPE_FEATURE>의 <RESTAURANT-TYPE_FEATURE> 중에서 실내 온도가 쾌적한 데 추천을 희망하시는군요. / 전국의 <RESTAURANT-TYPE_FEATURE> 중에서 실내 온도가 쾌적한 데 추천을 희망하시는군요.,아래에서 많은 분들이 베스트로 추천하신 식당들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,죄송합니다. 냉난방이 잘 되는 한식집 추천해줘와 같이 구체적인 식당 카테고리를 말씀해 주시겠어요?
RECOMMEND_RESERVATION,<LOCATION-TYPE_FEATURE>의 예약이 가능한 <RESTAURANT-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>의 예약 서비스를 제공하는 <RESTAURANT-TYPE_FEATURE> 추천해드리겠습니다. / <LOCATION-TYPE_FEATURE>의 <RESTAURANT-TYPE_FEATURE> 중에서 예약 서비스가 있는 데 추천을 희망하시는군요. / 전국의 <RESTAURANT-TYPE_FEATURE> 중에서 예약 서비스가 있는 데 추천을 희망하시는군요.,아래에서 많은 분들이 베스트로 추천하신 식당들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,죄송합니다. 예약이 가능한 한식집 추천해줘와 같이 구체적인 식당 카테고리를 말씀해 주시겠어요?
RECOMMEND_FAST,<LOCATION-TYPE_FEATURE>의 음식이 빨리 나오는 <RESTAURANT-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>의 메뉴가 금방 나오는 <RESTAURANT-TYPE_FEATURE> 추천해드리겠습니다. / <LOCATION-TYPE_FEATURE>의 <RESTAURANT-TYPE_FEATURE> 중에서 금방 요리가 나오는 데 추천을 희망하시는군요. / 전국의 <RESTAURANT-TYPE_FEATURE> 중에서 금방 요리가 나오는 데 추천을 희망하시는군요.,아래에서 많은 분들이 베스트로 추천하신 식당들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,죄송합니다. 음식이 빨리 나오는 한식집 추천해줘와 같이 구체적인 식당 카테고리를 말씀해 주시겠어요?
RECOMMEND_DISCOUNT,<LOCATION-TYPE_FEATURE>의 할인 가능한 <RESTAURANT-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>의 할인 해주는 <RESTAURANT-TYPE_FEATURE> 추천해드리겠습니다. / <LOCATION-TYPE_FEATURE>의 <RESTAURANT-TYPE_FEATURE> 중에서 가격을 깎아주는 데 추천을 희망하시는군요. / 전국의 <RESTAURANT-TYPE_FEATURE> 중에서 가격을 깎아주는 데 추천을 희망하시는군요.,아래에서 많은 분들이 베스트로 추천하신 식당들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,죄송합니다. 할인이 가능한 한식집 추천해줘와 같이 구체적인 식당 카테고리를 말씀해 주시겠어요?
RECOMMEND_EVENT,<LOCATION-TYPE_FEATURE>의 이벤트 중인 <RESTAURANT-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>의 이벤트를 진행중인 <RESTAURANT-TYPE_FEATURE> 추천해드리겠습니다. / <LOCATION-TYPE_FEATURE>의 <RESTAURANT-TYPE_FEATURE> 중에서 진행중인 이벤트가 있는 데 추천을 희망하시는군요. / 전국의 <RESTAURANT-TYPE_FEATURE> 중에서 진행중인 이벤트가 있는 데 추천을 희망하시는군요.,아래에서 많은 분들이 베스트로 추천하신 식당들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,죄송합니다. 새해 이벤트가 진행중인 한식집 추천해줘와 같이 구체적인 식당 카테고리를 말씀해 주시겠어요?
RECOMMEND_WIDE,<LOCATION-TYPE_FEATURE>의 매장이 넓은 <RESTAURANT-TYPE_FEATURE> 추천을 희망하시는군요./<LOCATION-TYPE_FEATURE>의 넓은 가게의 <RESTAURANT-TYPE_FEATURE> 추천해드리겠습니다. / <LOCATION-TYPE_FEATURE>의 <RESTAURANT-TYPE_FEATURE> 중에서 공간이 넓은 데 추천을 희망하시는군요. / 전국의 <RESTAURANT-TYPE_FEATURE> 중에서 공간이 넓은 데 추천을 희망하시는군요.,아래에서 많은 분들이 베스트로 추천하신 식당들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,죄송합니다. 매장이 큰 한식집 추천해줘와 같이 구체적인 식당 카테고리를 말씀해 주시겠어요?
RECOMMEND_ALL-FEATURE,<LOCATION-TYPE_FEATURE>의 해당 특징들을 가진 <RESTAURANT-TYPE_FEATURE> 추천을 희망하시는군요. / 전국의 해당 특징들을 가진 <RESTAURANT-TYPE_FEATURE> 추천을 원하시는군요.,아래에서 많은 분들이 베스트로 추천하신 식당들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,죄송합니다. 매장이 크고 놀이방이 있는 한식집 추천해줘와 같이 구체적인 식당 카테고리를 말씀해 주시겠어요?
